Country,State,Observation Date,Clouds,Precipitation,Temperature (F),Number Seen in 10 s,Different Colors,Location,Grassy,Is the Grass Mowed?,Fertilized,Weed Killer,Pesticides
US,MA,6/7/10 21:30,Cloudy,None,61,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/10/10 21:30,Cloudy,Misty,57,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/18/10 21:30,Clear,None,70,4,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/26/10 21:00,Cloudy,None,74,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/5/10 21:30,Clear,None,75,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/12/10 21:30,Cloudy,None,75,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/16/10 21:15,Cloudy,None,78,2,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/19/10 21:30,Partly cloudy,None,73,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/22/10 21:15,Partly cloudy,None,77,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/3/11 21:00,Cloudy,None,60,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/14/11 20:30,Cloudy,None,60,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/20/11 20:45,Cloudy,None,53,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/28/11 21:45,Clear,None,67,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/2/11 21:45,Clear,None,57,2,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/6/11 20:45,Partly cloudy,None,63,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/6/11 21:15,Cloudy,Misty,54,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/24/11 21:00,Cloudy,None,59,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/28/11 21:30,Clear,None,69,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/1/11 21:00,Partly cloudy,None,66,4,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/5/11 21:00,Cloudy,None,73,4,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/11/11 21:15,Partly cloudy,None,75,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/15/11 21:30,Partly cloudy,None,63,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/19/11 21:15,Clear,None,72,2,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/27/11 21:00,Clear,None,69,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/31/11 21:15,Clear,None,70,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/12/12 20:30,Clear,None,64,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/19/12 21:00,Clear,None,55,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/26/12 21:30,Clear,None,68,2,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/29/12 21:00,Cloudy,None,73,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/5/12 21:15,Clear,None,49,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/8/12 21:00,Cloudy,None,64,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/11/12 21:30,Partly cloudy,None,62,4,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/1/12 21:15,Clear,None,74,4,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/9/12 21:15,Clear,None,71,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/16/12 21:15,Cloudy,None,81,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/20/12 21:00,Partly cloudy,None,64,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/26/12 21:00,Partly cloudy,None,74,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/2/13 21:00,Clear,None,73,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/10/13 21:00,Cloudy,Heavy rain,59,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/14/13 21:00,Clear,None,60,1,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/11/13 21:00,Cloudy,None,67,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/20/13 21:15,Partly cloudy,None,75,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/2/13 21:00,Cloudy,None,71,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/11/08 20:00,Clear,None,72,0,0,Suburb,Yes,1-2 times a month,I don't know,No,No
US,MA,6/20/08 21:00,Clear,None,70,0,0,Suburb,Yes,1-2 times a month,I don't know,No,No
US,MA,6/30/08 20:30,Clear,None,78,0,0,Suburb,Yes,1-2 times a month,I don't know,No,No
US,MA,5/2/08 20:45,Cloudy,None,61,0,0,Rural: forest,Yes,1-2 times a month,Yes,Yes,No
US,MA,5/24/08 20:45,Partly cloudy,None,55,0,0,Rural: forest,Yes,1-2 times a month,Yes,Yes,No
US,MA,6/9/08 21:15,Partly cloudy,None,76,2,1,Rural: forest,Yes,1-2 times a month,Yes,Yes,No
US,MA,5/18/08 21:30,Clear,None,70,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,5/30/08 21:45,Cloudy,None,50,3,2,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,5/31/08 21:45,Cloudy,None,60,4,3,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/1/08 22:00,Clear,None,60,3,3,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/3/08 21:30,Cloudy,None,60,4,2,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/4/08 21:30,Cloudy,Misty,50,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/5/08 22:30,Foggy,Misty,50,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/8/08 22:00,Partly cloudy,None,70,3,1,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/10/08 22:45,Clear,None,70,2,1,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/11/08 21:30,Partly cloudy,None,60,3,2,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/16/08 21:15,Cloudy,Light rain,60,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/17/08 22:30,Partly cloudy,Misty,60,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/20/08 22:30,Partly cloudy,Light rain,65,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,7/22/08 21:30,Cloudy,None,66,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,7/26/08 23:30,Clear,None,60,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,8/4/08 21:00,Cloudy,Misty,70,2,1,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,8/13/08 22:15,Partly cloudy,None,60,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,5/22/09 22:45,Clear,None,60,3,2,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/1/09 21:30,Partly cloudy,None,51,5,1,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/3/09 21:30,Cloudy,None,50,4,2,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/14/09 22:00,Partly cloudy,Misty,50,4,1,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/20/09 23:00,Cloudy,Misty,55,2,2,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,5/26/08 21:00,Partly cloudy,None,64,0,0,Suburban/rural mix,Yes,Weekly,No,Yes,No
US,MA,6/2/08 21:15,Clear,None,66,1,1,Suburban/rural mix,Yes,Weekly,No,Yes,No
US,MA,6/9/08 21:00,Clear,None,81,4,1,Suburban/rural mix,Yes,Weekly,No,Yes,No
US,MA,5/25/08 21:00,Cloudy,None,70,0,0,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,RI,5/27/08 16:00,Partly cloudy,Misty,70,2,0,Suburban/rural mix,NULL,Weekly,Yes,Yes,Trees
US,RI,6/9/08 21:15,Clear,None,76,2,1,Suburban/rural mix,NULL,Weekly,Yes,Yes,Trees
US,MA,7/1/08 21:15,Partly cloudy,Light rain,68,1,1,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,6/7/08 21:15,Partly cloudy,None,85,0,0,City,Yes,Weekly,Yes,Yes,I don't know
US,MA,6/8/08 5:00,Clear,None,65,0,0,City,Yes,Weekly,Yes,Yes,I don't know
US,MA,6/15/08 21:45,Clear,None,65,3,2,City,Yes,Weekly,Yes,Yes,I don't know
US,MA,7/13/08 21:00,Clear,None,72,2,1,City,Yes,Weekly,Yes,Yes,I don't know
US,MA,6/2/08 21:15,Clear,None,74,0,0,City,Yes,1-2 times a month,I don't know,I don't know,I don't know
US,MA,6/3/08 21:30,Partly cloudy,None,75,0,0,Suburb,Yes,1-2 times a month,No,No,No
US,MA,6/7/08 20:30,Partly cloudy,None,86,0,0,Suburb,Yes,1-2 times a month,No,No,No
US,MA,6/24/08 21:00,Clear,None,68,0,0,Suburb,Yes,1-2 times a month,No,No,No
US,MA,6/30/08 23:00,Clear,None,74,0,0,Suburb,Yes,1-2 times a month,No,No,No
US,MA,7/22/08 0:30,Clear,None,65,0,0,Suburb,Yes,1-2 times a month,No,No,No
US,ME,6/27/08 21:45,Partly cloudy,None,61,3,>3,Rural: forest,Yes,<3 times a year,No,No,No
US,ME,6/28/08 22:00,Cloudy,None,60,2,1,Rural: forest,Yes,<3 times a year,No,No,No
US,ME,6/29/08 21:30,Cloudy,None,57,2,1,Rural: forest,Yes,<3 times a year,No,No,No
US,ME,7/18/08 22:00,Cloudy,None,60,0,0,Rural: forest,Yes,<3 times a year,No,No,No
US,ME,7/19/08 22:00,Partly cloudy,Light rain,60,0,0,Rural: forest,Yes,<3 times a year,No,No,No
US,ME,7/20/08 22:00,Cloudy,None,60,0,0,Rural: forest,Yes,<3 times a year,No,No,No
US,ME,7/21/08 21:00,Foggy,Misty,60,2,1,Rural: forest,Yes,<3 times a year,No,No,No
US,MA,5/31/08 21:15,Cloudy,Misty,64,0,0,Suburb,Yes,1-2 times a month,No,Yes,No
US,MA,5/29/08 22:00,Partly cloudy,None,62,0,0,Suburban/rural mix,Yes,1-2 times a month,No,No,Trees
US,MA,5/29/08 21:30,Clear,None,53,3,1,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,6/9/08 21:30,Clear,None,79,0,0,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,6/17/08 21:00,Cloudy,None,64,2,1,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,6/21/08 22:30,Partly cloudy,None,61,0,0,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,7/20/08 0:15,Clear,None,78,0,0,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,7/20/08 21:00,Partly cloudy,None,74,3,1,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,6/10/08 21:15,Partly cloudy,None,88,5,1,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,6/17/08 2:45,Partly cloudy,None,66,5,1,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,6/4/09 21:15,Cloudy,None,61,5,1,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,6/7/09 23:00,Cloudy,None,62,5,1,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,6/14/09 21:15,Cloudy,None,64,5,1,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,5/14/10 21:00,Partly cloudy,None,50,3,1,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,5/26/10 23:00,Partly cloudy,None,75,4,1,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,5/30/10 21:15,Clear,None,69,5,2,Rural: forest,Yes,1-2 times a month,No,No,No
US,MA,6/8/08 21:15,Clear,None,89,4,2,Suburban/rural mix,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/2/08 22:30,Clear,None,60,3,1,Suburban/rural mix,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/7/08 21:15,Foggy,None,58,0,0,Rural: open area,Yes,<3 times a year,No,No,No
US,MA,6/17/08 21:30,Partly cloudy,Misty,60,3,1,Rural: open area,Yes,<3 times a year,No,No,No
US,MA,6/28/08 21:15,Partly cloudy,None,72,3,1,Rural: open area,Yes,<3 times a year,No,No,No
US,MA,7/17/08 20:15,Clear,None,74,2,1,Rural: open area,Yes,<3 times a year,No,No,No
US,MA,7/26/08 20:45,Clear,None,72,1,1,Rural: open area,Yes,<3 times a year,No,No,No
US,MA,6/13/09 21:45,Foggy,None,58,0,0,Rural: open area,Yes,<3 times a year,No,No,No
US,MA,5/27/08 20:45,Partly cloudy,None,65,0,0,Suburb,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/7/08 21:15,Partly cloudy,None,76,0,0,Suburb,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/12/08 21:00,Clear,None,75,3,1,Suburb,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/25/08 21:30,Clear,None,70,2,1,Suburb,Yes,Weekly,Yes,Yes,Lawn
US,MA,5/29/08 21:15,Clear,None,62,3,1,Rural: open area,Yes,No,No,No,No
US,MA,6/21/08 22:30,Partly cloudy,None,67,5,2,Rural: open area,Yes,No,No,No,No
US,MA,5/27/08 21:30,Partly cloudy,None,55,0,0,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,5/29/08 21:15,Clear,None,63,2,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,5/30/08 21:30,Cloudy,None,64,3,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/1/08 21:15,Clear,None,63,3,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/2/08 21:15,Clear,None,65,4,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/4/08 21:30,Foggy,None,61,0,0,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/5/08 21:30,Cloudy,Misty,58,5,0,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/7/08 21:45,Clear,None,72,3,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/8/08 21:30,Partly cloudy,None,82,4,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/10/08 21:30,Clear,None,75,4,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/12/08 22:15,Clear,None,62,3,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/14/08 21:00,Cloudy,Light rain,70,4,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,5/22/09 20:45,Clear,None,74,4,1,Rural: open area,Yes,Weekly,No,No,Trees
US,MA,6/12/09 21:30,Partly cloudy,None,68,4,1,Rural: open area,Yes,Weekly,No,No,Trees
US,RI,7/13/09 20:45,Clear,None,65,1,2,,NULL,,,,
US,CA,5/28/08 4:00,Partly cloudy,Light rain,23,2,>3,Suburb,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/5/08 21:00,Clear,None,75,3,1,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,6/11/08 21:00,Partly cloudy,None,65,1,1,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,6/21/08 21:30,Partly cloudy,None,60,3,2,Suburban/rural mix,Yes,1-2 times a month,No,No,No
US,MA,6/23/08 18:30,Cloudy,None,66,3,1,Suburban/rural mix,Yes,1-2 times a month,Yes,Yes,Lawn
US,MA,7/6/08 23:00,Clear,None,67,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,Yes,Lawn
US,MA,7/17/08 21:15,Partly cloudy,None,69,4,1,Suburban/rural mix,Yes,1-2 times a month,Yes,Yes,Lawn
US,MA,6/2/08 21:00,Clear,None,60,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/9/08 21:00,Clear,None,75,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/24/08 21:30,Clear,None,70,3,>3,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/14/08 20:30,Clear,None,75,3,2,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/14/08 20:30,Clear,None,75,3,2,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/30/08 20:45,Clear,None,77,2,1,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,8/5/08 22:00,Partly cloudy,None,73,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,8/11/08 22:00,Cloudy,Light rain,73,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,8/13/08 22:00,Partly cloudy,None,70,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/20/09 20:45,Clear,None,70,4,3,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/29/09 22:00,Partly cloudy,Misty,73,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/12/09 20:15,Clear,None,75,3,1,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/16/09 22:00,Partly cloudy,None,79,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/18/09 22:30,Clear,None,73,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/19/09 21:15,Partly cloudy,None,72,1,1,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/22/09 20:45,Partly cloudy,None,77,3,3,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,8/7/09 20:30,Partly cloudy,None,65,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/14/10 20:45,Partly cloudy,None,72,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/3/10 23:15,Clear,None,81,2,2,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/12/10 22:45,Partly cloudy,None,75,3,2,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/30/10 22:45,Partly cloudy,None,67,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,7/31/10 21:45,Partly cloudy,None,60,0,0,Rural: forest,Yes,Weekly,Yes,Yes,Lawn
US,MA,6/18/08 20:15,Partly cloudy,None,71,0,0,City,Yes,Weekly,Yes,I don't know,I don't know
US,MA,6/2/08 21:45,Partly cloudy,None,59,4,2,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,6/9/08 21:15,Partly cloudy,None,73,3,2,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,6/18/08 21:30,Partly cloudy,None,58,3,1,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,7/7/08 20:45,Clear,None,74,3,2,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,7/10/08 20:45,Clear,None,64,4,1,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,6/6/09 21:30,Partly cloudy,None,60,3,1,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,6/12/09 22:30,Partly cloudy,Light rain,62,0,0,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,6/22/09 21:30,Cloudy,None,63,3,2,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,6/26/09 21:00,Cloudy,None,67,3,1,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,7/10/09 21:15,Clear,None,61,3,1,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,8/2/09 21:15,Partly cloudy,None,71,3,1,Suburban/rural mix,Yes,<3 times a year,No,No,No
US,MA,6/15/08 0:15,Cloudy,None,56,0,0,City,Yes,1-2 times a month,I don't know,I don't know,I don't know
US,MA,7/6/09 22:00,Partly cloudy,None,70,0,0,City,Yes,1-2 times a month,I don't know,I don't know,I don't know
US,MA,5/29/08 21:15,Partly cloudy,None,65,0,0,Suburban/rural mix,Yes,<3 times a year,No,No,Trees
US,MA,6/5/08 21:45,Cloudy,Misty,60,3,2,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/12/08 21:30,Clear,None,60,0,0,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
US,MA,6/20/08 22:15,Partly cloudy,None,65,3,2,Suburban/rural mix,Yes,1-2 times a month,Yes,No,No
